"ModulesID","Parent","IsParent","Status","MenuOrder","viewName","Name","Link"
"6006","1003","1","0","1","Create","Create Customer","/Customer/Create"
"6080","1003","1","0","10","Customer Type","Customer type","/CustomerType/Index"
"6082","1003","1","0","11","Customers with no transactions","Customers with no transactions","/CustomerReport/CustomerWises"
"6096","1003","1","0","101","Override Customer Credit Limit","Override Customer Credit Limit","#"
"234343461","1003","1","0","10","Change Sales Person From Customer","Change Sales Person From Customer","/Customer/MoveSalesPerson"
"234343496","1003","1","0","10","Update Customer Contacts","Update Customer Contacts","#"
"234343509","1003","1","0","20","Customer Merge List","Customer Merge List","/customermerge/index"
"234343510","1003","1","0","21","Create Customer Merge","Create Customer Merge","#"
"234343511","1003","1","0","22","Delete Customer Merge","Delete Customer Merge","#"
"234343566","1003","1","0","10","Edit Password","Edit Password","#"
"81","1006","0","0","2","List","Contact List","/Contact/Index"
"182","1006","1","0","100","View Contact","View Contact","/Contact/ViewDetails"
"183","1006","1","0","100","Edit Contact","Edit Contact","/Contact/Edit"
"1007","1006","1","0","8","Create","Create Contact","/Contact/Create"
"212","1021","0","0","2223","Pro Forma","Pro Forma","#"
"213","1021","0","0","7","Delivery Note","Delivery Note","#"
"544","1021","0","0","2","PipeLine","PipeLine","#"
"1022","1021","0","0","1","Lead","Leads","#"
"1026","1021","0","0","3","Quote","Quote","#"
"1029","1021","0","0","4","Sales Order","Sales Order","#"
"1100","1021","0","0","5","Sales","Sales","#"
"1102","1021","0","0","6","Sales Return","Sales Return","#"
"6025","1021","0","0","9","Estimate","Estimate","#"
"6068","1021","0","0","10","BOQ","BOQ","#"
"234343443","1021","0","0","10","Work Completion","Work Completion","#"
"234343448","1021","0","0","10","warranty certificate","Warranty certificate","#"
"234343477","1021","0","0","10","Credit Note","Credit Note","#"
"1400","1022","1","0","1","Create","Create Leads","/Leads/Create"
"1401","1022","0","0","2","List","Leads List","/Leads/Index"
"1403","1022","1","0","100","Edit","Edit Leads","/Leads/Edit"
"1405","1022","1","0","100","Delete","Delete Leads","/Leads/Delete"
"1406","1022","1","0","100","View","View Leads","/Leads/Details"
"1407","1022","1","0","3","My Leads","MyLeads","/Leads/MyLeads"
"5020","1022","1","0","102","Lead Approval","LeadApprovalModal","/Leads/LeadApprovalModal"
"6034","1022","1","0","100","Assign User To Lead","AssignUserToLead","#"
"234343439","1022","1","0","0","Lead Dash Board","Lead Dashboard","/Leads/leadsnewdashboard"
"234343509","1022","1","0","10","My Followup","My Followup","/Leads/followups"
"234343553","1022","1","0","10","Change Leads Assign Employee","Move Leads Assign","/leads/MoveLeads"
"234343555","1022","0","0","10","Outdoor Sales Man Lead","Outdoor Sales Man Lead","/Leads/Create/?format=2"
"234343563","1022","1","0","1","Leads Create-Outdoor SalesMan","Leads Create-Outdoor SalesMan","/Leads/Create/?format=2"
"113","1026","1","0","100","View Quotation","View Quotation","/Quotation/Details"
"114","1026","1","0","100","Edit Quotation","Edit Quotation","/Quotation/Edit"
"115","1026","1","0","100","Delete Quotation","Delete Quotation","/Quotation/Delete"
"116","1026","1","0","100","Download Quotation","Download Quotation","/Quotation/Download"
"1408","1026","1","0","1","Create","Quotation Entry","/Quotation/Create"
"1409","1026","0","0","2","List","Quotation List","/Quotation/Index"
"1409","1029","1","0","1","Create","SalesOrder Entry","/SalesOrder/Create"
"1410","1029","1","0","100","Edit","Edit SalesOrder","/SalesOrder/Edit"
"1411","1029","1","0","100","View","View SalesOrder","/SalesOrder/Details"
"1412","1029","1","0","100","Delete","Delete SalesOrder","/SalesOrder/Delete"
"1413","1029","1","0","100","Download","Download SalesOrder","/SalesOrder/Download"
"1414","1029","0","0","2","List","SalesOrder List","/SalesOrder/Index"
"47","1032","0","0","5","Sales Reports","Sales Reports","#"
"64","1032","1","0","10","Pro Forma","Report Pro Forma","/MyReports/ProForma"
"67","1032","1","0","8","Deliverynote","Report Deliverynote","/MyReports/Deliverynote"
"552","1032","1","0","2","PipeLine","Report PipeLine","/MyReports/PipeLine"
"559","1032","0","0","3","SalesReturn Reports","SalesReturn Reports","#"
"1124","1032","1","0","4","Sales Order","Report SalesOrder","/MyReports/SalesOrder"
"1125","1032","1","0","3","Quotation","Report Quotation","/MyReports/Quotation"
"1135","1032","0","0","7","Sales Summary","Sales Summary","#"
"1415","1032","0","0","1","Leads","Report Leads","/MyReports/Leads"
"6007","1032","1","0","4","Sales Commission","salescommission","/SalesReport/SalesCommission"
"234343541","1032","1","0","10","Customer Summary","Customer Summary","/salesReport/customersummary"
"234343544","1032","1","0","-1","Customers/Task/Amc Remarks","Customers Remarks","/customer/customerremarkindex"
"1034","1033","0","0","35","ProcessFlow","Process Flow","/LeadProcessFlow/Index"
"1040","1033","0","0","41","Check List","CheckList2","#"
"6032","1033","0","0","36","Lead Dashborad","Lead Dashborad","/leaddashboardorder"
"234343507","1033","1","0","10","Scope Of Work Checklist","Scope Of Work Checklist","/scopeofworkchecklist/Index"
"1035","1034","1","0","36","Create","Create5","/Configuration/ProcessFlow/Create"
"1036","1034","1","0","37","List","List5","/Configuration/PRocessFlow/List"
"1038","1037","1","0","39","Create","Create6","/Configuration/Team/Create"
"1039","1037","1","0","40","List","List 6","/Configuration/Team/List"
"1041","1040","1","0","42","Create","Create7","/LeadChecklists/Create"
"1042","1040","1","0","43","List","List7","/LeadChecklists/Index"
"1044","1043","1","0","45","Create","Create8","/Configuration/OperationField/Create"
"1045","1043","1","0","46","List","List8","/Configuration/OperationField/List"
"1047","1046","0","0","2","DashBoard","Dashboard2","/supplier/dashboard"
"1048","1046","0","0","3","Master","Master2","#"
"1049","1046","0","0","4","Transaction","Transaction2","#"
"1050","1046","0","0","5","Report","Report2","#"
"1051","1046","0","0","6","Configuration","Configuration2","#"
"128","1048","1","0","100","View Supplier","View Supplier","/Supplier/ViewDetails"
"129","1048","1","0","100","Edit Supplier","Edit Supplier","/Supplier/Edit"
"130","1048","1","0","100","Delete Supplier","Delete Supplier","/Supplier/Delete"
"575","1048","1","0","100","All Suppliers","All Suppliers","#"
"1048","1048","1","0","100","All MRNote Entry","All MRNote Entry","#"
"1326","1048","0","0","2","Supplier","SupplierP","#"
"455","1049","0","0","5"," Material Receive Note"," Material Receive Note","#"
"1105","1049","0","0","3","Purchase","Purchase","#"
"1108","1049","0","0","4","Purchase Return","Purchase Return","#"
"1324","1049","0","0","1","Purchase Quotation","PurchaseQuotation","#"
"1325","1049","0","0","2","Purchase Order","Purchase Order","#"
"234343474","1049","0","0","10","Debit Note","Debit Note","#"
"234343516","1049","0","0","10","Purchase Expense","Purchase Expense","#"
"65","1050","1","0","4","Purchase Return","Report Purchase Return","/MyReports/PurchaseReturn"
"290","1050","1","0","3","Purchase Order","Report PurchaseOrder","/MyReports/PurchaseOrder"
"423","1050","1","0","5","Item Wise Purchase Return ","PRInvoice ItemWise","/MyReports/PRInvoiceItemWise"
"462","1050","1","0","7","Material Receive Note","Report MRNote","/MyReports/MRNote"
"567","1050","0","0","3","Purchasereturn Reports","Purchasereturn Reports","#"
"1145","1050","0","0","2","Purchase Reports","Purchase Reports","#"
"6083","1050","1","0","1","Supplier Items","Supplier Items","/Supplier/SupplierProducts"
"1053","1052","1","0","-1","DashBoard","Dashboard3","/Inventory/Dashboard3"
"1097","1052","0","0","1","Master","invendorymaster","#"
"1098","1052","0","0","2","Transaction","invendorytransaction","#"
"1099","1052","0","0","3","Reports","invendoryreports","#"
"6042","1052","0","0","5","Asset","Asset","#"
"1055","1054","0","0","2","DashBoard","Dashboard4","/proTask/dashboard"
"1056","1054","0","0","3","Master","Master3","#"
"1057","1054","0","0","4","Transaction","Transaction3","#"
"1058","1054","0","0","5","Report","Report3","#"
"1059","1054","0","0","6","Configuration","Configuration3","#"
"449","1056","1","0","100","Edit","Edit ProTaskType","/ProTaskType/Edit"
"450","1056","1","0","100","Delete","Delete ProTaskType","/ProTaskType/Delete"
"481","1056","1","0","100","Create","Create TaskStatus","/TaskStatus/Create"
"482","1056","1","0","100","Edit","Edit TaskStatus","/TaskStatus/Edit"
"483","1056","1","0","100","Delete","Delete TaskStatus","/TaskStatus/Delete"
"495","1056","1","0","100","All ProTask","All ProTask","#"
"1072","1056","1","0","5","Task Type","ProTaskType","/ProTaskType/Index"
"1073","1056","1","0","6","Task Status","TaskStatus","/TaskStatus/Index"
"1074","1056","1","0","1","Create","Create ProTaskType","/ProTaskType/Create"
"1077","1056","0","0","4","Project","Project","#"
"1301","1056","1","0","100","Create","Create ProcessFlow","/ProcessFlow/Create"
"1303","1056","1","0","100","Delete","Delete ProcessFlow","/ProcessFlow/Delete"
"234343437","1056","1","0","10","Task Group","Task Group","/TaskGroup/Index"
"234343542","1056","1","0","10","Task Manner","Task Manner","/taskmanner/index"
"230","1057","0","0","156","JobCard","JobCard","#"
"464","1057","0","0","2222","Material Requisition","MaterialRequisition","#"
"1658","1057","0","0","1","Task","protask","#"
"6061","1057","0","0","2","AMC","AMC","#"
"234343528","1057","0","0","10","Task Non Field Staff","Task Non Field Staff","#"
"471","1058","1","0","155","MaterialRequisition","Report MaterialRequisition","/MyReports/MaterialRequisition"
"1096","1058","1","0","1","Task Assigned","Report AssignedTask","/MyReports/AssignedTask"
"6104","1058","1","0","1","Overtime Report","Overtime Report","/myreports/OverTimeAsOnDate"
"1300","1059","0","0","10","Process Flow","ProcessFlow List","/ProcessFlow/Index"
"1302","1059","1","0","100","Edit","Edit ProcessFlow","/ProcessFlow/Edit"
"1310","1059","0","0","12","Checklist","Checklist","#"
"6033","1059","0","0","36","Task Dashborad Settings","Task Dashborad","/taskdashboardorder"
"6071","1059","1","0","5","AMC Process Flow","AMC Process Flow","/AMCProcessFlow/Index"
